similar,lost,noise
25739.0,1836.0,2684.0
25676.0,1899.0,2748.0
25782.0,1793.0,2617.0
25760.0,1815.0,2717.0
25771.0,1804.0,2653.0
25721.0,1854.0,2721.0
25677.0,1898.0,2767.0
25740.0,1835.0,2691.0
25671.0,1904.0,2755.0
25674.0,1901.0,2776.0
25709.0,1866.0,2734.0
25742.0,1833.0,2680.0
25756.0,1819.0,2675.0
25686.0,1889.0,2733.0
25645.0,1930.0,2777.0
25727.0,1848.0,2706.0
25740.0,1835.0,2675.0
25762.0,1813.0,2675.0
25732.0,1843.0,2706.0
25721.0,1854.0,2711.0
25764.0,1811.0,2640.0
25799.0,1776.0,2638.0
25716.0,1859.0,2702.0
25730.0,1845.0,2714.0
25733.0,1842.0,2693.0
25765.0,1810.0,2664.0
25718.0,1857.0,2731.0
25616.0,1959.0,2834.0
25665.0,1910.0,2783.0
25665.0,1910.0,2756.0
25734.0,1841.0,2717.0
25710.0,1865.0,2710.0
25708.0,1867.0,2715.0
25681.0,1894.0,2763.0
25677.0,1898.0,2768.0
25715.0,1860.0,2705.0
25763.0,1812.0,2658.0
25628.0,1947.0,2792.0
25737.0,1838.0,2713.0
25720.0,1855.0,2723.0
25667.0,1908.0,2767.0
25678.0,1897.0,2747.0
25753.0,1822.0,2692.0
25787.0,1788.0,2655.0
25731.0,1844.0,2702.0
25612.0,1963.0,2806.0
25674.0,1901.0,2768.0
25721.0,1854.0,2713.0
25738.0,1837.0,2687.0
25687.0,1888.0,2732.0
25679.0,1896.0,2765.0
25704.0,1871.0,2748.0
25784.0,1791.0,2654.0
25713.0,1862.0,2707.0
25706.0,1869.0,2721.0
25703.0,1872.0,2741.0
25718.0,1857.0,2722.0
25731.0,1844.0,2708.0
25666.0,1909.0,2767.0
25690.0,1885.0,2738.0
25710.0,1865.0,2724.0
25703.0,1872.0,2741.0
25699.0,1876.0,2738.0
25734.0,1841.0,2692.0
25737.0,1838.0,2696.0
25688.0,1887.0,2746.0
25734.0,1841.0,2740.0
25663.0,1912.0,2747.0
25698.0,1877.0,2746.0
25676.0,1899.0,2764.0
25734.0,1841.0,2687.0
25762.0,1813.0,2681.0
25695.0,1880.0,2729.0
25711.0,1864.0,2743.0
25718.0,1857.0,2698.0
25718.0,1857.0,2703.0
25719.0,1856.0,2699.0
25695.0,1880.0,2727.0
25694.0,1881.0,2739.0
25758.0,1817.0,2678.0
25711.0,1864.0,2727.0
25758.0,1817.0,2689.0
25690.0,1885.0,2749.0
25607.0,1968.0,2837.0
25712.0,1863.0,2708.0
25735.0,1840.0,2693.0
25746.0,1829.0,2703.0
25771.0,1804.0,2664.0
25730.0,1845.0,2725.0
25758.0,1817.0,2681.0
25668.0,1907.0,2765.0
25667.0,1908.0,2759.0
25729.0,1846.0,2688.0
25659.0,1916.0,2779.0
25733.0,1842.0,2697.0
25726.0,1849.0,2696.0
25712.0,1863.0,2712.0
25712.0,1863.0,2714.0
25722.0,1853.0,2699.0
25672.0,1903.0,2760.0
25754.0,1821.0,2663.0
25632.0,1943.0,2802.0
25723.0,1852.0,2734.0
25692.0,1883.0,2747.0
25783.0,1792.0,2661.0
25685.0,1890.0,2771.0
25684.0,1891.0,2745.0
25773.0,1802.0,2680.0
25720.0,1855.0,2731.0
25708.0,1867.0,2734.0
25707.0,1868.0,2728.0
25722.0,1853.0,2725.0
25737.0,1838.0,2688.0
25671.0,1904.0,2746.0
25702.0,1873.0,2742.0
25717.0,1858.0,2721.0
25747.0,1828.0,2677.0
25674.0,1901.0,2771.0
25743.0,1832.0,2683.0
25720.0,1855.0,2702.0
25751.0,1824.0,2688.0
